[1 % 2, 4 % 9, 17 % 18]
[1 % 2, 2 % 5, 9 % 10]
[1 % 2, 4 % 11, 19 % 22]
[1 % 2, 1 % 3, 5 % 6]
[1 % 2, 4 % 13, 21 % 26]
[1 % 2, 2 % 7, 11 % 14]
[1 % 2, 4 % 15, 23 % 30]
[1 % 2, 4 % 15, 17 % 30]
[1 % 2, 1 % 4, 3 % 4]
[1 % 2, 4 % 17, 25 % 34]
[1 % 2, 9 % 20, 19 % 20]
[1 % 2, 3 % 7, 13 % 14]
[1 % 2, 9 % 22, 10 % 11]
[1 % 2, 3 % 8, 7 % 8]
[1 % 2, 3 % 8, 5 % 8]
[1 % 2, 9 % 26, 11 % 13]
[1 % 2, 1 % 3, 5 % 6]
[1 % 2, 9 % 28, 23 % 28]
[1 % 2, 3 % 10, 4 % 5]
[1 % 2, 9 % 32, 25 % 32]
[1 % 2, 3 % 11, 17 % 22]
[1 % 2, 9 % 34, 13 % 17]
[1 % 2, 2 % 3, 5 % 6]
[1 % 2, 5 % 11, 21 % 22]
[1 % 2, 5 % 12, 11 % 12]
[1 % 2, 2 % 5, 9 % 10]
[1 % 2, 5 % 13, 23 % 26]
[1 % 2, 5 % 14, 6 % 7]
[1 % 2, 1 % 3, 5 % 6]
[1 % 2, 5 % 16, 13 % 16]
[1 % 2, 5 % 17, 27 % 34]
[1 % 2, 2 % 7, 11 % 14]
[1 % 2, 11 % 24, 23 % 24]
[1 % 2, 11 % 26, 12 % 13]
[1 % 2, 11 % 28, 25 % 28]
[1 % 2, 11 % 30, 13 % 15]
[1 % 2, 11 % 32, 27 % 32]
[1 % 2, 1 % 3, 5 % 6]
[1 % 2, 11 % 34, 14 % 17]
[1 % 2, 2 % 3, 5 % 6]
[1 % 2, 6 % 13, 25 % 26]
[1 % 2, 4 % 9, 17 % 18]
[1 % 2, 3 % 7, 13 % 14]
[1 % 2, 2 % 5, 9 % 10]
[1 % 2, 3 % 8, 7 % 8]
[1 % 2, 3 % 8, 5 % 8]
[1 % 2, 4 % 11, 19 % 22]
[1 % 2, 6 % 17, 29 % 34]
[1 % 2, 13 % 28, 27 % 28]
[1 % 2, 13 % 30, 14 % 15]
[1 % 2, 13 % 32, 29 % 32]
[1 % 2, 13 % 34, 15 % 17]
[1 % 2, 2 % 3, 5 % 6]
[1 % 2, 7 % 15, 29 % 30]
[1 % 2, 7 % 16, 15 % 16]
[1 % 2, 7 % 17, 31 % 34]
[1 % 2, 2 % 5, 9 % 10]
[1 % 2, 15 % 32, 31 % 32]
[1 % 2, 5 % 11, 21 % 22]
[1 % 2, 15 % 34, 16 % 17]
[1 % 2, 3 % 7, 13 % 14]
[1 % 2, 2 % 3, 5 % 6]
[1 % 2, 8 % 17, 33 % 34]
[1 % 2, 2 % 3, 5 % 6]
[1 % 2, 2 % 3, 5 % 6]
[1 % 2, 2 % 3, 5 % 6]
[1 % 3, 1 % 2, 5 % 6]
[1 % 3, 1 % 3, 2 % 3]
[1 % 3, 1 % 4, 7 % 12]
[1 % 3, 1 % 4, 5 % 12]
[1 % 3, 1 % 5, 8 % 15]
[1 % 3, 1 % 6, 1 % 2]
[1 % 3, 1 % 7, 10 % 21]
[1 % 3, 1 % 8, 11 % 24]
[1 % 3, 1 % 9, 4 % 9]
[1 % 3, 1 % 10, 13 % 30]
[1 % 3, 1 % 11, 14 % 33]
[1 % 3, 1 % 12, 5 % 12]
[1 % 3, 1 % 15, 2 % 5]
[1 % 3, 1 % 18, 7 % 18]
[1 % 3, 1 % 21, 8 % 21]
[1 % 3, 1 % 24, 3 % 8]
[1 % 3, 1 % 27, 10 % 27]
[1 % 3, 1 % 30, 11 % 30]
[1 % 3, 1 % 33, 4 % 11]
[1 % 3, 1 % 2, 5 % 6]
[1 % 3, 2 % 5, 11 % 15]
[1 % 3, 1 % 3, 2 % 3]
[1 % 3, 2 % 7, 13 % 21]
[1 % 3, 1 % 4, 7 % 12]
[1 % 3, 1 % 4, 5 % 12]
[1 % 3, 2 % 9, 5 % 9]
[1 % 3, 1 % 5, 8 % 15]
[1 % 3, 2 % 11, 17 % 33]
[1 % 3, 1 % 6, 1 % 2]
[1 % 3, 1 % 7, 10 % 21]
[1 % 3, 2 % 15, 7 % 15]
[1 % 3, 1 % 8, 11 % 24]
[1 % 3, 1 % 9, 4 % 9]
[1 % 3, 1 % 10, 13 % 30]
[1 % 3, 2 % 21, 3 % 7]
[1 % 3, 1 % 11, 14 % 33]
[1 % 3, 1 % 12, 5 % 12]
[1 % 3, 2 % 27, 11 % 27]
[1 % 3, 1 % 15, 2 % 5]
[1 % 3, 2 % 33, 13 % 33]
[1 % 3, 3 % 5, 14 % 15]
[1 % 3, 1 % 2, 5 % 6]
[1 % 3, 3 % 7, 16 % 21]
[1 % 3, 3 % 8, 17 % 24]
[1 % 3, 1 % 3, 2 % 3]
[1 % 3, 3 % 10, 19 % 30]
[1 % 3, 3 % 11, 20 % 33]
[1 % 3, 1 % 4, 7 % 12]
[1 % 3, 1 % 4, 5 % 12]
[1 % 3, 1 % 5, 8 % 15]
[1 % 3, 1 % 6, 1 % 2]
[1 % 3, 1 % 7, 10 % 21]
[1 % 3, 1 % 8, 11 % 24]
[1 % 3, 1 % 9, 4 % 9]
[1 % 3, 1 % 10, 13 % 30]
[1 % 3, 1 % 11, 14 % 33]
[1 % 3, 4 % 5, 13 % 15]
[1 % 3, 4 % 7, 19 % 21]
[1 % 3, 1 % 2, 5 % 6]
[1 % 3, 4 % 9, 7 % 9]
[1 % 3, 4 % 9, 5 % 9]
[1 % 3, 2 % 5, 11 % 15]
[1 % 3, 4 % 11, 23 % 33]
[1 % 3, 1 % 3, 2 % 3]
[1 % 3, 2 % 7, 13 % 21]
[1 % 3, 4 % 15, 3 % 5]
[1 % 3, 1 % 4, 7 % 12]
[1 % 3, 1 % 4, 5 % 12]
[1 % 3, 2 % 9, 5 % 9]
[1 % 3, 1 % 5, 8 % 15]
[1 % 3, 4 % 21, 11 % 21]
[1 % 3, 2 % 11, 17 % 33]
[1 % 3, 1 % 6, 1 % 2]
[1 % 3, 4 % 27, 13 % 27]
[1 % 3, 1 % 7, 10 % 21]
[1 % 3, 2 % 15, 7 % 15]
